square_footage,bedrooms,bathrooms,house_age_years,location_score,price
2133,3,4.0,12,5,468400
1736,3,3.5,48,4,381200
1682,2,3.0,36,4,341400
1682,3,3.5,42,3,292000
2980,5,5.0,38,6,552900
2324,4,5.0,41,9,513500
1555,3,4.0,16,8,436300
2165,4,4.5,14,7,484900
1966,3,4.0,17,7,496700
956,1,1.5,22,5,291400
1295,2,2.5,53,2,296700
2012,2,3.5,50,5,376500
2880,6,5.0,29,4,561400
1687,2,3.0,57,6,354000
1517,2,2.5,33,8,389700
1884,3,3.5,57,9,428400
1488,2,2.5,3,6,393700
1650,4,4.0,2,2,337300
1809,2,3.0,6,6,357400
1276,2,2.0,55,6,356500
2365,3,4.0,17,7,513400
1207,1,1.5,41,5,248600
1164,1,1.5,6,6,298600
1937,3,4.0,39,4,380500
2303,3,4.0,5,5,471000
1921,2,3.5,21,7,453100
1749,2,3.5,57,1,320500
1645,2,2.5,0,5,374700
1560,1,1.5,3,7,366800
2544,4,4.5,45,9,580700
2018,3,3.5,48,5,361000
1600,1,2.0,51,8,349800
1451,2,2.5,49,9,356200
2213,3,3.5,42,5,460700
2523,4,5.0,28,4,472300
2446,4,5.0,20,5,468400
1374,1,2.0,25,5,323100
1641,2,2.5,13,8,383700
1550,2,2.5,8,4,329200
1709,3,3.5,58,9,486600
2357,4,5.0,46,4,481500
2787,3,4.0,11,3,490700
2043,3,4.0,41,7,448600
1466,2,2.0,50,8,383600
1795,3,3.5,55,6,410500
2967,4,5.0,50,6,564900
1869,4,4.5,5,9,495400
1646,2,4.0,19,8,385000
1690,2,3.0,23,6,341000
2040,2,3.0,26,5,404400
1388,1,2.0,37,8,334200
1539,1,1.5,7,7,376800
2434,4,5.0,0,6,529000
2021,3,3.5,53,5,387700
1875,2,3.5,48,5,388100
2475,4,5.0,48,5,479500
1439,2,2.5,23,5,383800
1630,2,2.5,46,4,338300
2000,4,5.0,6,6,430000
1978,3,4.0,18,4,455900
1130,1,2.5,21,6,287300
1581,2,3.0,56,1,254400
1723,1,2.5,54,4,381400
2071,2,3.5,59,8,455700
1976,3,4.0,34,4,419600
1773,2,2.0,29,7,411600
954,1,1.5,28,4,231300
1801,3,4.0,21,7,418300
1853,2,3.0,10,5,384100
3846,5,5.0,19,5,717200
1705,3,3.5,28,6,401700
2004,3,4.5,50,3,421300
2611,3,5.0,40,7,530400
2313,4,5.0,41,8,500200
2826,4,5.0,33,5,503600
1135,2,2.5,0,7,353400
1305,2,2.0,30,7,379000
1506,2,2.5,29,5,315100
1080,2,3.0,47,3,265900
1858,3,3.5,17,9,431100
1337,1,2.0,54,5,276500
2954,4,5.0,57,4,534700
1400,1,2.5,16,9,339800
1634,2,3.5,37,7,390100
2358,3,5.0,13,6,479500
1203,2,2.5,22,4,304500
1059,1,2.0,24,7,297900
1929,1,2.0,14,10,480000
1977,2,3.5,45,7,420800
2335,3,3.5,55,6,424600
2151,3,4.0,21,7,437400
2001,2,2.5,2,5,362400
1449,3,3.0,55,5,347200
1959,2,3.0,54,5,449000
1998,4,4.5,18,4,437600
1433,2,2.5,56,5,356800
3242,4,5.0,43,5,612900
2118,4,5.0,33,5,441700
1312,1,1.5,34,5,323100
2339,4,5.0,49,6,476200
2471,4,5.0,0,6,517100
2077,2,3.0,51,6,410500
1676,3,3.5,20,9,438100
1414,2,2.5,28,6,358200
1771,3,4.0,5,10,465200
2030,3,4.0,36,6,459800
1824,3,3.5,0,5,431700
2870,5,5.0,50,8,598000
2223,4,4.5,0,5,526300
1365,1,2.0,26,1,280000
1270,3,3.5,20,5,360100
2124,2,3.0,52,5,407500
1688,3,3.5,15,9,454900
2285,4,4.5,43,4,461800
2117,2,3.5,58,5,408400
1774,2,3.5,53,8,405000
1370,1,1.5,39,6,250800
1093,1,2.0,25,5,293600
1948,3,3.0,15,4,422300
1197,2,2.5,27,6,287100
1353,3,3.5,0,5,368500
1910,4,4.0,35,4,386900
1852,2,2.5,9,4,364600
1240,2,2.5,42,4,316600
2564,2,4.0,16,4,448900
2541,3,4.5,56,7,485100
2146,4,4.0,58,7,508600
2145,4,4.0,22,7,477800
2146,2,3.0,6,6,477700
5569,6,5.0,43,5,839800
2464,4,4.0,52,5,436700
2241,3,4.0,6,8,485100
1405,1,1.5,43,2,241100
1680,3,4.0,14,4,341500
3689,5,5.0,33,4,645400
971,1,1.5,45,8,300900
1554,3,3.5,44,5,333000
2569,4,4.5,3,2,452300
1432,2,3.0,13,6,340200
2261,3,4.0,13,5,432700
1844,3,4.0,15,4,323400
1463,2,4.5,6,4,350400
921,1,1.0,31,4,214300
1931,4,5.0,18,7,461500
1395,2,2.5,1,6,327600
1749,2,3.0,9,5,402600
2139,4,5.0,49,3,479800
2397,3,4.0,16,5,455800
1552,3,3.5,36,6,409200
1462,2,3.0,11,6,371100
1191,2,2.0,5,6,321300
2436,4,5.0,21,4,475200
3492,4,5.0,31,1,558500
2524,3,4.0,40,9,568600
2712,3,4.5,19,3,460500
1436,2,3.0,0,2,297400
2098,4,4.5,53,6,482500
2329,5,5.0,46,2,461100
631,1,1.0,52,4,151700
1290,2,3.0,57,7,328700
3027,3,5.0,5,9,647900
1125,1,2.5,18,6,320600
2859,4,5.0,17,5,576000
1122,1,2.0,5,5,298700
1309,2,2.5,44,2,274900
2110,3,4.5,32,5,448800
1859,1,2.0,22,5,408600
1600,3,4.0,22,6,382500
2986,4,5.0,25,9,624000
1200,2,2.5,12,2,238600
1728,4,4.5,6,5,385100
2196,2,3.5,14,2,402600
1991,1,2.5,43,4,347300
1477,2,3.0,26,4,324800
1494,3,4.0,25,3,374200
2385,5,5.0,32,7,564200
2422,3,4.5,14,6,557200
2008,3,3.5,35,7,485400
1378,2,2.5,44,4,359400
1509,2,3.0,54,5,342000
1804,4,5.0,26,9,457900
1888,2,3.5,56,5,356600
2168,3,4.0,4,7,520100
1700,3,3.5,1,4,380800
2367,4,4.5,54,7,501200
2358,3,4.0,57,4,422700
2744,4,5.0,32,2,474600
1829,2,3.0,15,5,398600
2018,3,4.0,22,5,401800
1741,2,3.0,37,2,328800
1383,2,3.0,54,6,368700
3462,5,5.0,15,4,564600
2624,4,5.0,13,10,561800
2342,3,3.0,28,3,438900
1809,3,3.5,25,3,399700
1347,2,2.0,34,7,327400
2480,2,4.0,14,5,429600
1731,3,4.0,2,7,469500
2077,2,3.5,22,6,416000
1507,2,3.5,28,4,325800
1968,2,3.0,33,3,374600
1536,3,4.0,32,8,393700
1554,1,2.5,40,3,277600
1959,5,5.0,40,7,448600
1118,2,3.0,22,7,376600
1133,2,2.0,6,5,327000
1431,2,2.5,2,5,356100
1693,3,3.5,57,4,296000
2391,4,5.0,31,6,517900
1724,3,3.5,30,1,336000
1806,3,4.0,17,7,403300
1652,2,3.0,42,6,375700
2018,3,4.0,6,5,462400
1379,2,2.5,40,6,345700
1753,2,2.0,0,3,328400
2069,4,5.0,13,1,399100
1954,3,3.0,51,6,427200
1824,1,2.0,31,8,406900
1831,3,3.0,5,2,388600
2134,3,5.0,38,3,426000
3523,5,5.0,9,7,692100
1407,2,2.5,6,6,372400
3560,6,5.0,25,10,696000
1388,3,3.0,33,8,381300
891,1,1.5,29,7,265100
1526,2,3.0,35,4,353700
2030,2,3.5,20,7,458200
3252,4,5.0,59,8,618000
1346,1,2.0,16,5,278500
2130,4,5.0,32,5,416700
1167,2,2.0,9,6,323300
3210,5,5.0,50,4,552300
2641,4,5.0,46,6,542600
1555,3,3.5,41,6,331000
1022,1,1.0,50,8,327500
2785,4,5.0,11,5,562300
1750,3,4.5,55,7,418000
2688,4,5.0,15,5,574100
1820,3,4.0,40,7,449100
1845,3,3.5,31,5,385000
1565,2,2.5,14,7,383700
2221,4,5.0,26,7,451400
1889,3,4.0,27,3,406800
2145,2,3.0,16,8,464000
1086,1,2.0,45,5,215400
2721,3,4.5,58,5,471000
2955,4,4.5,49,4,547900
1887,3,3.5,57,6,444300
3431,4,5.0,1,5,628700
3139,4,5.0,35,6,566600
2236,2,3.5,49,6,406300
2797,4,5.0,6,7,615000
2545,4,5.0,12,10,602600
1007,1,1.0,14,6,265600
1662,3,4.0,24,4,355200
2288,4,4.5,22,1,431400
3024,3,4.5,59,3,522500
1144,1,2.0,21,8,306400
1026,1,1.0,25,7,257100
1784,2,2.5,32,3,311800
908,2,2.0,10,10,332300
1764,2,3.5,9,6,387900
2046,3,3.5,24,6,480000
1328,1,1.0,36,10,348800
1780,3,3.5,47,9,409900
2465,3,4.5,42,7,478000
1524,2,3.5,52,7,365300
1395,2,2.5,37,7,304300
1754,3,3.5,40,5,380000
1286,1,2.5,44,6,276900
3337,3,4.5,23,7,650900
1838,3,3.5,39,5,395000
1440,3,3.5,45,4,379300
1948,4,5.0,55,5,417600
1751,3,3.5,32,4,291800
1689,2,3.0,16,6,423100
1524,3,2.5,23,2,317900
1501,1,1.5,36,6,344500
1093,2,2.5,56,2,204100
2796,4,5.0,1,5,550900
2188,4,5.0,31,7,498700
2010,5,5.0,56,7,462300
1742,3,3.5,59,7,357200
1321,2,2.5,23,6,402200
1413,2,2.5,8,3,327500
1128,1,1.5,3,7,325400
1466,2,3.0,16,3,347800
1266,2,2.5,16,8,376000
3077,4,5.0,52,7,573300
2409,4,5.0,49,8,557800
1863,2,3.5,47,6,419400
1363,3,2.5,29,4,297100
1285,2,3.0,39,3,301500
1706,2,3.0,57,3,317200
2442,3,4.5,10,2,451300
1137,2,3.0,20,7,348400
2179,4,4.5,20,8,541700
1464,1,1.5,17,7,332000
1546,2,2.5,54,5,338600
1846,2,2.5,28,10,503900
1377,1,2.5,23,5,312300
1679,2,2.5,9,6,387900
1342,2,2.5,44,5,360400
1500,3,3.5,16,5,378900
2315,3,3.5,17,7,453500
1877,3,3.5,41,4,360900
2313,4,5.0,47,4,473300
1458,2,2.5,19,7,377000
2184,3,4.0,36,5,445100
1052,1,1.5,44,6,324300
1845,3,3.0,17,5,382500
2232,3,4.0,16,5,455000
1040,1,2.5,8,4,219700
1463,2,2.5,13,4,354100
1845,4,4.5,48,4,373400
2504,4,5.0,28,7,559900
1500,3,3.0,30,6,388800
2156,4,5.0,3,7,562900
2859,4,5.0,17,8,612800
2189,3,4.5,58,5,427800
1699,2,2.5,19,7,406700
2049,3,4.5,55,5,402400
1487,3,4.0,55,5,355900
1869,4,5.0,46,8,458300
1726,2,3.0,42,7,391400
2027,3,4.0,43,5,396300
1585,2,3.5,8,6,391700
2065,3,4.0,12,3,429400
1581,1,1.5,14,6,307400
2401,2,3.0,26,3,404900
1631,2,3.0,14,4,354900
917,1,1.5,27,7,218900
1297,1,2.0,36,1,278100
1828,3,4.5,54,9,437600
3067,4,5.0,18,7,582600
2370,4,5.0,25,2,438700
866,1,1.0,51,10,301900
1106,2,2.5,25,10,347300
2612,4,5.0,24,5,543000
2228,2,3.5,25,4,432900
3643,6,5.0,25,9,696700
1560,2,3.5,45,5,334600
1369,2,3.0,27,6,304900
1860,2,3.5,48,8,395900
1551,1,2.0,17,5,344300
2528,4,5.0,31,5,484200
1534,2,2.5,52,3,344200
1662,2,3.0,2,4,362200
1310,1,2.5,1,5,285900
2317,4,5.0,32,3,420500
1336,1,1.5,41,3,287100
2077,4,5.0,18,6,470300
3253,4,5.0,16,2,579200
1000,2,2.5,43,4,245300
2907,4,5.0,32,9,595800
1990,3,3.0,11,5,446300
1247,1,1.5,48,5,255200
1883,3,3.5,55,5,401700
2294,3,4.0,2,5,466000
1396,1,1.5,42,7,349500
2116,4,5.0,48,7,522400
2992,4,5.0,54,5,539200
1534,2,2.5,25,5,328900
1306,1,1.5,34,8,352400
1743,1,2.5,7,2,296600
1850,3,4.5,51,5,439900
2573,5,5.0,35,6,567400
1725,3,3.5,52,4,332000
1578,2,3.0,53,5,300300
1296,2,2.5,6,4,279500
1042,2,2.5,45,7,274900
1179,2,3.0,45,3,286000
1177,1,1.0,35,8,352500
1668,3,4.0,15,5,409400
1097,2,2.5,23,5,285200
1785,3,3.5,53,3,357300
3226,5,5.0,0,8,635400
2598,4,5.0,48,4,517200
1663,3,3.0,24,3,353400
1255,2,3.0,9,8,387400
3966,5,5.0,53,4,641200
1852,2,3.0,15,5,387500
1938,3,4.0,15,7,470200
1732,4,4.0,57,6,435400
1797,2,3.0,7,9,433900
1517,1,2.0,28,4,329600
1670,3,4.0,38,5,360600
2913,4,4.5,27,5,600000
2695,4,5.0,5,7,557500
906,1,1.5,15,8,313300
1133,1,2.0,19,6,302600
1402,3,3.5,15,5,416900
2450,2,3.5,6,3,449700
2716,3,4.0,40,6,505000
2291,3,4.0,13,4,466400
1245,1,1.5,42,7,324800
1527,2,3.0,25,5,343800
2128,4,4.5,25,5,426500
1678,2,1.5,13,3,310700
1605,2,2.5,6,2,337600
1613,1,1.5,32,9,344900
2625,3,4.0,25,6,508300
2200,3,3.5,56,6,466900
1640,2,3.0,44,4,334500
2020,4,5.0,19,7,534200
1195,2,2.5,2,7,299800
1528,1,2.0,51,4,275800
2537,4,5.0,3,3,432100
1078,2,2.0,25,4,316700
2209,4,4.5,10,5,447500
904,2,2.0,1,6,238300
3085,4,5.0,13,6,580400
1516,2,2.5,43,8,341600
2068,2,3.5,29,4,386500
1886,3,4.0,48,3,370400
1908,3,3.5,11,6,449600
2008,4,4.5,25,2,390100
1023,1,2.0,43,7,288900
1921,3,3.5,32,6,406000
1710,3,4.0,12,5,358400
1519,2,2.5,13,5,300600
1402,3,3.0,23,7,362600
1936,2,2.5,33,7,418900
1311,2,2.5,43,5,295900
2522,5,5.0,25,7,499900
2117,3,4.0,20,7,476100
1975,3,4.5,27,6,482200
2486,3,4.5,47,5,475000
979,1,1.0,35,6,245500
1183,3,3.0,39,3,275900
2148,2,3.0,1,6,421700
